player,team,position,tv_y0,tv_y1,tv_y2,tv_y3,adp,rsv_hat,rsv_p25,rsv_p50,rsv_p75,rankings_player,nfl_team,matched_rankings,is_rostered,tv_input_source,ranking_source,gsis_id,_season
Caleb Williams,AJJ | Turf Titans,QB,70.36632135598788,70.36632135598788,70.36632135598788,70.36632135598788,13,70.36632135598788,51.40802299630397,63.89802228833118,96.34271630331293,Caleb Williams,CHI,True,True,phase2_2026_rankings_fallback,fantasypros_rankings,00-0039918,2026
Brashard Smith,AJJ | Turf Titans,RB,-0.0013952432203538923,-0.0013952432203538923,-0.0013952432203538923,-0.0013952432203538923,233,-0.0013952432203538923,-6.969293934069573,-4.015501319077036,1.551523674956429,Brashard Smith,KC,True,True,phase2_2026_rankings_fallback,fantasypros_rankings,00-0040078,2026
Omarion Hampton,AJJ | Turf Titans,RB,42.59311005725141,42.59311005725141,42.59311005725141,42.59311005725141,31,42.59311005725141,19.368148226068538,36.00880935552004,64.0355870891289,Omarion Hampton,LAC,True,True,phase2_2026_rankings_fallback,fantasypros_rankings,00-0040666,2026
Tyjae Spears,AJJ | Turf Titans,RB,4.799586798979035,4.799586798979035,4.799586798979035,4.799586798979035,150,4.799586798979035,-4.814540036743572,-1.46774683364952,7.4126955301848465,Tyjae Spears,TEN,True,True,phase2_2026_rankings_fallback,fantasypros_rankings,00-0039032,2026
Woody Marks,AJJ | Turf Titans,RB,11.142907948967318,11.142907948967318,11.142907948967318,11.142907948967318,124,11.142907948967318,-4.294666404840962,1.4775028957907672,21.101710079475474,Woody Marks,HOU,True,True,phase2_2026_rankings_fallback,fantasypros_rankings,00-0040583,2026
Dalton Schultz,AJJ | Turf Titans,TE,-0.6829904414353988,-0.6829904414353988,-0.6829904414353988,-0.6829904414353988,158,-0.6829904414353988,-6.718105713410987,-2.228823062533585,0.2698065627061643,Dalton Schultz,HOU,True,True,phase2_2026_rankings_fallback,fantasypros_rankings,00-0034383,2026
Brian Thomas Jr.,AJJ | Turf Titans,WR,10.01157017683248,10.01157017683248,10.01157017683248,10.01157017683248,105,10.01157017683248,-5.375025311499396,3.072516874915994,15.432379656262025,Brian Thomas Jr.,JAC,True,True,phase2_2026_rankings_fallback,fantasypros_rankings,00-0039893,2026
DK Metcalf,AJJ | Turf Titans,WR,12.98207655471401,12.98207655471401,12.98207655471401,12.98207655471401,89,12.98207655471401,-3.952200828758045,5.74152844813838,22.656079885268515,DK Metcalf,PIT,True,True,phase2_2026_rankings_fallback,fantasypros_rankings,00-0035640,2026
Deebo Samuel Sr.,AJJ | Turf Titans,WR,1.7335249588465584,1.7335249588465584,1.7335249588465584,1.7335249588465584,149,1.7335249588465584,-7.116384219032515,-2.9250531347928073,6.433323377083852,Deebo Samuel Sr.,FA,True,True,phase2_2026_rankings_fallback,fantasypros_rankings,00-0035719,2026
Jalen Coker,AJJ | Turf Titans,WR,1.7335249588465584,1.7335249588465584,1.7335249588465584,1.7335249588465584,152,1.7335249588465584,-6.833094737948992,-2.493030933885805,6.854356240106825,Jalen Coker,CAR,True,True,phase2_2026_rankings_fallback,fantasypros_rankings,00-0039491,2026
Malik Nabers,AJJ | Turf Titans,WR,53.57937714279428,53.57937714279428,53.57937714279428,53.57937714279428,28,53.57937714279428,29.216570245613863,48.06166423287937,67.04403963985533,Malik Nabers,NYG,True,True,phase2_2026_rankings_fallback,fantasypros_rankings,00-0039337,2026
Matthew Golden,AJJ | Turf Titans,WR,1.7335249588465584,1.7335249588465584,1.7335249588465584,1.7335249588465584,165,1.7335249588465584,-5.666851769185561,-0.7144867668719017,8.587659623772208,Matthew Golden,GB,True,True,phase2_2026_rankings_fallback,fantasypros_rankings,00-0040667,2026
Rome Odunze,AJJ | Turf Titans,WR,12.98207655471401,12.98207655471401,12.98207655471401,12.98207655471401,85,12.98207655471401,-4.3376097564878755,5.417962741112753,23.409159637015023,Rome Odunze,CHI,True,True,phase2_2026_rankings_fallback,fantasypros_rankings,00-0039919,2026
Tre Harris,AJJ | Turf Titans,WR,-4.079508352576218,-4.079508352576218,-4.079508352576218,-4.079508352576218,183,-4.079508352576218,-11.422265324803611,-6.439648782744728,2.8602624279593725,Tre Harris,LAC,True,True,phase2_2026_rankings_fallback,fantasypros_rankings,00-0040727,2026
Brock Purdy,BG | 2 Rice 2 Addison,QB,56.682647315450744,56.682647315450744,56.682647315450744,56.682647315450744,21,56.682647315450744,29.297374577805037,49.468148759417154,78.7045799873403,Brock Purdy,SF,True,True,phase2_2026_rankings_fallback,fantasypros_rankings,00-0037834,2026
C.J. Stroud,BG | 2 Rice 2 Addison,QB,35.748525341171494,35.748525341171494,35.748525341171494,35.748525341171494,63,35.748525341171494,10.706001200052746,20.65876438970082,49.913068144394636,C.J. Stroud,HOU,True,True,phase2_2026_rankings_fallback,fantasypros_rankings,00-0039163,2026
Jaxson Dart,BG | 2 Rice 2 Addison,QB,70.36632135598788,70.36632135598788,70.36632135598788,70.36632135598788,11,70.36632135598788,49.38501898158012,64.21152984620763,97.77694645098839,Jaxson Dart,NYG,True,True,phase2_2026_rankings_fallback,fantasypros_rankings,00-0040691,2026
Bhayshul Tuten,BG | 2 Rice 2 Addison,RB,15.83076456597613,15.83076456597613,15.83076456597613,15.83076456597613,83,15.83076456597613,-3.998104130570299,8.297188413331241,26.555748200357705,Bhayshul Tuten,JAC,True,True,phase2_2026_rankings_fallback,fantasypros_rankings,00-0040719,2026
Blake Corum,BG | 2 Rice 2 Addison,RB,14.633839705389315,14.633839705389315,14.633839705389315,14.633839705389315,107,14.633839705389315,-3.4537178032003713,3.5636419642199275,26.183097856905267,Blake Corum,LAR,True,True,phase2_2026_rankings_fallback,fantasypros_rankings,00-0039738,2026
Breece Hall,BG | 2 Rice 2 Addison,RB,28.80292422380369,28.80292422380369,28.80292422380369,28.80292422380369,55,28.80292422380369,1.515696734028019,19.181466028625174,45.64484428498169,Breece Hall,NYJ,True,True,phase2_2026_rankings_fallback,fantasypros_rankings,00-0038120,2026
Jaydon Blue,BG | 2 Rice 2 Addison,RB,-0.0013952432203538923,-0.0013952432203538923,-0.0013952432203538923,-0.0013952432203538923,252,-0.0013952432203538923,-6.969293934069573,-4.015501319077036,1.551523674956429,Jaydon Blue,DAL,True,True,phase2_2026_rankings_fallback,fantasypros_rankings,00-0040586,2026
Jonathon Brooks,BG | 2 Rice 2 Addison,RB,0.7867734762632523,0.7867734762632523,0.7867734762632523,0.7867734762632523,166,0.7867734762632523,-6.181125214585967,-3.2273325995934306,2.339692394440035,Jonathon Brooks,CAR,True,True,phase2_2026_rankings_fallback,fantasypros_rankings,00-0039344,2026
TreVeyon Henderson,BG | 2 Rice 2 Addison,RB,28.80292422380369,28.80292422380369,28.80292422380369,28.80292422380369,71,28.80292422380369,10.375832312735252,21.416713865588047,45.42300459170683,TreVeyon Henderson,NE,True,True,phase2_2026_rankings_fallback,fantasypros_rankings,00-0040734,2026
Tyler Allgeier,BG | 2 Rice 2 Addison,RB,14.633839705389315,14.633839705389315,14.633839705389315,14.633839705389315,112,14.633839705389315,-2.6460729204904236,4.011326326515476,25.823297625634908,Tyler Allgeier,ARI,True,True,phase2_2026_rankings_fallback,fantasypros_rankings,00-0037263,2026
Colston Loveland,BG | 2 Rice 2 Addison,TE,28.23771284628299,28.23771284628299,28.23771284628299,28.23771284628299,54,28.23771284628299,1.6000707413383992,20.809145823895495,37.09431239053775,Colston Loveland,CHI,True,True,phase2_2026_rankings_fallback,fantasypros_rankings,00-0040126,2026
Harold Fannin Jr.,BG | 2 Rice 2 Addison,TE,0.9390487130852175,0.9390487130852175,0.9390487130852175,0.9390487130852175,87,0.9390487130852175,-14.194044580138389,-6.403731437351468,-2.5634949620084373,Harold Fannin Jr.,CLE,True,True,phase2_2026_rankings_fallback,fantasypros_rankings,00-0040663,2026
Emeka Egbuka,BG | 2 Rice 2 Addison,WR,25.389096041484432,25.389096041484432,25.389096041484432,25.389096041484432,73,25.389096041484432,6.534796619249349,19.53042212312672,42.132329146356994,Emeka Egbuka,TB,True,True,phase2_2026_rankings_fallback,fantasypros_rankings,00-0040129,2026
Jalen McMillan,BG | 2 Rice 2 Addison,WR,-4.079508352576218,-4.079508352576218,-4.079508352576218,-4.079508352576218,177,-4.079508352576218,-11.422265324803611,-6.439648782744728,2.8602624279593725,Jalen McMillan,TB,True,True,phase2_2026_rankings_fallback,fantasypros_rankings,00-0039855,2026
Jameson Williams,BG | 2 Rice 2 Addison,WR,25.389096041484432,25.389096041484432,25.389096041484432,25.389096041484432,65,25.389096041484432,5.248873298385806,22.069078540015425,48.65450230459358,Jameson Williams,DET,True,True,phase2_2026_rankings_fallback,fantasypros_rankings,00-0037240,2026
Jaylin Noel,BG | 2 Rice 2 Addison,WR,-4.079508352576218,-4.079508352576218,-4.079508352576218,-4.079508352576218,181,-4.079508352576218,-11.422265324803611,-6.439648782744728,2.8602624279593725,Jaylin Noel,HOU,True,True,phase2_2026_rankings_fallback,fantasypros_rankings,00-0040138,2026
Kyle Williams,BG | 2 Rice 2 Addison,WR,-4.079508352576218,-4.079508352576218,-4.079508352576218,-4.079508352576218,199,-4.079508352576218,-11.422265324803611,-6.439648782744728,2.8602624279593725,Kyle Williams,NE,True,True,phase2_2026_rankings_fallback,fantasypros_rankings,,2026
Luther Burden III,BG | 2 Rice 2 Addison,WR,25.389096041484432,25.389096041484432,25.389096041484432,25.389096041484432,67,25.389096041484432,5.584615752777424,21.406259285994224,46.951624389102506,Luther Burden III,CHI,True,True,phase2_2026_rankings_fallback,fantasypros_rankings,00-0040735,2026
