season,rank,tier,player,team,position,pos_rank,merge_name,gsis_id,ranking_source
2015,1.3,,Andrew Luck,IND,QB,1,andrew luck,00-0029668,fantasydata_adp
2015,2.4,,Aaron Rodgers,GB,QB,2,aaron rodgers,00-0023459,fantasydata_adp
2015,2.4,,Adrian Peterson,MIN,RB,1,adrian peterson,00-0025394,fantasydata_adp
2015,4.0,,Le'Veon Bell,PIT,RB,2,leveon bell,00-0030496,fantasydata_adp
2015,4.6,,Antonio Brown,PIT,WR,1,antonio brown,00-0027793,fantasydata_adp
2015,5.1,,Eddie Lacy,GB,RB,3,eddie lacy,00-0030485,fantasydata_adp
2015,6.8,,Jamaal Charles,KC,RB,4,jamaal charles,00-0026213,fantasydata_adp
2015,7.3,,Russell Wilson,SEA,QB,3,russell wilson,00-0029263,fantasydata_adp
2015,7.4,,Peyton Manning,DEN,QB,4,peyton manning,00-0010346,fantasydata_adp
2015,9.1,,Drew Brees,NO,QB,5,drew brees,00-0020531,fantasydata_adp
2015,9.2,,Marshawn Lynch,SEA,RB,5,marshawn lynch,00-0025399,fantasydata_adp
2015,11.1,,Julio Jones,ATL,WR,2,julio jones,00-0027944,fantasydata_adp
2015,11.6,,Ben Roethlisberger,PIT,QB,6,ben roethlisberger,00-0022924,fantasydata_adp
2015,13.9,,Dez Bryant,DAL,WR,3,dez bryant,00-0027902,fantasydata_adp
2015,14.8,,Demaryius Thomas,DEN,WR,4,demaryius thomas,00-0027874,fantasydata_adp
2015,16.3,,CJ Anderson,DEN,RB,6,cj anderson,00-0029854,fantasydata_adp
2015,16.5,,Matt Ryan,ATL,QB,7,matt ryan,00-0026143,fantasydata_adp
2015,16.9,,Matt Forte,CHI,RB,7,matt forte,00-0026184,fantasydata_adp
2015,19.2,,Calvin Johnson,DET,WR,5,calvin johnson,00-0025389,fantasydata_adp
2015,19.5,,Odell Beckham Jr.,NYG,WR,6,odell beckham,00-0031235,fantasydata_adp
2015,19.9,,Rob Gronkowski,NE,TE,1,rob gronkowski,00-0027656,fantasydata_adp
2015,20.8,,Tony Romo,DAL,QB,8,tony romo,00-0021678,fantasydata_adp
2015,22.6,,Jeremy Hill,CIN,RB,8,jeremy hill,00-0031301,fantasydata_adp
2015,22.8,,DeMarco Murray,PHI,RB,9,demarco murray,00-0028009,fantasydata_adp
2015,25.3,,Randall Cobb,GB,WR,7,randall cobb,00-0028002,fantasydata_adp
2015,25.7,,A.J. Green,CIN,WR,8,aj green,00-0027942,fantasydata_adp
2015,25.7,,Tom Brady,NE,QB,9,tom brady,00-0019596,fantasydata_adp
2015,27.3,,Eli Manning,NYG,QB,10,eli manning,00-0022803,fantasydata_adp
2015,27.6,,LeSean McCoy,BUF,RB,10,lesean mccoy,00-0027029,fantasydata_adp
