player,team,position,current_salary,real_salary,years_remaining,cap_today_current,cap_y0,cap_y1,cap_y2,cap_y3,pv_cap,dead_money_cut_now_nominal,dead_money_cut_now_pv,schedule_source,needs_schedule_validation
Drake Maye,That One Egg Was 40 Yards,QB,13.0,13.0,2,13.0,13.0,23.0,0.0,0.0,31.4,17.0,16.2,standard_rule,False
Bijan Robinson,That One Egg Was 40 Yards,RB,76.0,76.0,2,76.0,76.0,84.0,0.0,0.0,143.2,97.0,92.8,best_effort_instrument,True
James Cook,That One Egg Was 40 Yards,RB,32.0,32.0,2,32.0,32.0,36.0,0.0,0.0,60.8,41.0,39.2,best_effort_instrument,True
Ja'Marr Chase,That One Egg Was 40 Yards,WR,70.0,70.0,1,70.0,70.0,0.0,0.0,0.0,70.0,70.0,70.0,best_effort_instrument,True
Garrett Wilson,That One Egg Was 40 Yards,WR,53.0,53.0,1,53.0,53.0,0.0,0.0,0.0,53.0,53.0,53.0,best_effort_instrument,True
Jakobi Meyers,That One Egg Was 40 Yards,WR,12.0,12.0,2,12.0,12.0,14.0,0.0,0.0,23.2,16.0,15.2,best_effort_instrument,True
Josh Downs,That One Egg Was 40 Yards,WR,4.0,4.0,2,4.0,4.0,5.0,0.0,0.0,8.0,6.0,5.6,standard_rule,False
Jayden Daniels,That One Egg Was 40 Yards,QB,13.0,13.0,4,13.0,13.0,17.0,19.0,21.0,49.512,25.0,22.6,best_effort_instrument,True
Mason Taylor,That One Egg Was 40 Yards,TE,1.0,1.0,2,1.0,1.0,2.0,0.0,0.0,2.6,2.0,1.8,standard_rule,False
Trey Benson,That One Egg Was 40 Yards,RB,1.0,4.0,1,1.0,4.0,0.0,0.0,0.0,4.0,4.0,4.0,standard_rule,False
Cade Stover,That One Egg Was 40 Yards,TE,1.0,1.0,2,1.0,1.0,2.0,0.0,0.0,2.6,2.0,1.8,standard_rule,False
Elijah Arroyo,That One Egg Was 40 Yards,TE,1.0,1.0,2,1.0,1.0,2.0,0.0,0.0,2.6,2.0,1.8,standard_rule,False
Konata Mumpfield,That One Egg Was 40 Yards,WR,1.0,1.0,2,1.0,1.0,2.0,0.0,0.0,2.6,2.0,1.8,standard_rule,False
Tahj Brooks,That One Egg Was 40 Yards,RB,1.0,2.0,2,1.0,2.0,3.0,0.0,0.0,4.4,3.0,2.8,standard_rule,False
Arian Smith,That One Egg Was 40 Yards,WR,1.0,1.0,3,1.0,1.0,2.0,3.0,0.0,4.52,2.0,1.8,standard_rule,False
Jalen Royals,That One Egg Was 40 Yards,WR,1.0,2.0,2,1.0,2.0,3.0,0.0,0.0,4.4,3.0,2.8,standard_rule,False
Tony Pollard,Mike Vick In A Box,RB,51.0,51.0,1,51.0,51.0,0.0,0.0,0.0,51.0,51.0,51.0,best_effort_instrument,True
CeeDee Lamb,Mike Vick In A Box,WR,59.0,59.0,3,59.0,59.0,65.0,72.0,0.0,157.07999999999998,92.0,85.4,best_effort_instrument,True
Chris Olave,Mike Vick In A Box,WR,31.0,31.0,1,31.0,31.0,0.0,0.0,0.0,31.0,31.0,31.0,standard_rule,False
DeMario Douglas,Mike Vick In A Box,WR,4.0,4.0,2,4.0,4.0,5.0,0.0,0.0,8.0,6.0,5.6,standard_rule,False
