player,team,position,year_index,cap_hit_real,cap_hit_current,schedule_source,needs_schedule_validation
Drake Maye,That One Egg Was 40 Yards,QB,0,13.0,13.0,standard_rule,False
Drake Maye,That One Egg Was 40 Yards,QB,1,23.0,,standard_rule,False
Bijan Robinson,That One Egg Was 40 Yards,RB,0,76.0,76.0,best_effort_instrument,True
Bijan Robinson,That One Egg Was 40 Yards,RB,1,84.0,,best_effort_instrument,True
James Cook,That One Egg Was 40 Yards,RB,0,32.0,32.0,best_effort_instrument,True
James Cook,That One Egg Was 40 Yards,RB,1,36.0,,best_effort_instrument,True
Ja'Marr Chase,That One Egg Was 40 Yards,WR,0,70.0,70.0,best_effort_instrument,True
Garrett Wilson,That One Egg Was 40 Yards,WR,0,53.0,53.0,best_effort_instrument,True
Jakobi Meyers,That One Egg Was 40 Yards,WR,0,12.0,12.0,best_effort_instrument,True
Jakobi Meyers,That One Egg Was 40 Yards,WR,1,14.0,,best_effort_instrument,True
Josh Downs,That One Egg Was 40 Yards,WR,0,4.0,4.0,standard_rule,False
Josh Downs,That One Egg Was 40 Yards,WR,1,5.0,,standard_rule,False
Jayden Daniels,That One Egg Was 40 Yards,QB,0,13.0,13.0,best_effort_instrument,True
Jayden Daniels,That One Egg Was 40 Yards,QB,1,17.0,,best_effort_instrument,True
Jayden Daniels,That One Egg Was 40 Yards,QB,2,19.0,,best_effort_instrument,True
Jayden Daniels,That One Egg Was 40 Yards,QB,3,21.0,,best_effort_instrument,True
Mason Taylor,That One Egg Was 40 Yards,TE,0,1.0,1.0,standard_rule,False
Mason Taylor,That One Egg Was 40 Yards,TE,1,2.0,,standard_rule,False
Trey Benson,That One Egg Was 40 Yards,RB,0,4.0,1.0,standard_rule,False
Cade Stover,That One Egg Was 40 Yards,TE,0,1.0,1.0,standard_rule,False
Cade Stover,That One Egg Was 40 Yards,TE,1,2.0,,standard_rule,False
Elijah Arroyo,That One Egg Was 40 Yards,TE,0,1.0,1.0,standard_rule,False
Elijah Arroyo,That One Egg Was 40 Yards,TE,1,2.0,,standard_rule,False
Konata Mumpfield,That One Egg Was 40 Yards,WR,0,1.0,1.0,standard_rule,False
Konata Mumpfield,That One Egg Was 40 Yards,WR,1,2.0,,standard_rule,False
Tahj Brooks,That One Egg Was 40 Yards,RB,0,2.0,1.0,standard_rule,False
Tahj Brooks,That One Egg Was 40 Yards,RB,1,3.0,,standard_rule,False
Arian Smith,That One Egg Was 40 Yards,WR,0,1.0,1.0,standard_rule,False
Arian Smith,That One Egg Was 40 Yards,WR,1,2.0,,standard_rule,False
Arian Smith,That One Egg Was 40 Yards,WR,2,3.0,,standard_rule,False
Jalen Royals,That One Egg Was 40 Yards,WR,0,2.0,1.0,standard_rule,False
Jalen Royals,That One Egg Was 40 Yards,WR,1,3.0,,standard_rule,False
Tony Pollard,Mike Vick In A Box,RB,0,51.0,51.0,best_effort_instrument,True
CeeDee Lamb,Mike Vick In A Box,WR,0,59.0,59.0,best_effort_instrument,True
CeeDee Lamb,Mike Vick In A Box,WR,1,65.0,,best_effort_instrument,True
CeeDee Lamb,Mike Vick In A Box,WR,2,72.0,,best_effort_instrument,True
Chris Olave,Mike Vick In A Box,WR,0,31.0,31.0,standard_rule,False
DeMario Douglas,Mike Vick In A Box,WR,0,4.0,4.0,standard_rule,False
DeMario Douglas,Mike Vick In A Box,WR,1,5.0,,standard_rule,False
Bryce Young,Mike Vick In A Box,QB,0,18.0,18.0,standard_rule,False
Bryce Young,Mike Vick In A Box,QB,1,20.0,,standard_rule,False
Bryce Young,Mike Vick In A Box,QB,2,22.0,,standard_rule,False
Jordan Addison,Mike Vick In A Box,WR,0,9.0,9.0,standard_rule,False
Jordan Addison,Mike Vick In A Box,WR,1,10.0,,standard_rule,False
Trey McBride,Mike Vick In A Box,TE,0,27.0,27.0,standard_rule,False
Trey McBride,Mike Vick In A Box,TE,1,30.0,,standard_rule,False
DeVonta Smith,Mike Vick In A Box,WR,0,25.0,25.0,standard_rule,False
George Pickens,Mike Vick In A Box,WR,0,13.0,13.0,best_effort_instrument,True
George Pickens,Mike Vick In A Box,WR,1,15.0,,best_effort_instrument,True
George Pickens,Mike Vick In A Box,WR,2,17.0,,best_effort_instrument,True
Bucky Irving,Mike Vick In A Box,RB,0,3.0,3.0,standard_rule,False
Marvin Harrison Jr.,Mike Vick In A Box,WR,0,16.0,16.0,standard_rule,False
Devin Neal,Mike Vick In A Box,RB,0,2.0,1.0,standard_rule,False
Devin Neal,Mike Vick In A Box,RB,1,3.0,,standard_rule,False
Shedeur Sanders,Mike Vick In A Box,QB,0,4.0,1.0,standard_rule,False
Shedeur Sanders,Mike Vick In A Box,QB,1,5.0,,standard_rule,False
Keandre Lambert-Smith,Mike Vick In A Box,WR,0,5.0,2.0,standard_rule,False
Jarquez Hunter,Mike Vick In A Box,RB,0,2.0,1.0,standard_rule,False
Jarquez Hunter,Mike Vick In A Box,RB,1,3.0,,standard_rule,False
Jaylen Wright,Mike Vick In A Box,RB,0,2.0,1.0,standard_rule,False
Justin Herbert,John | Turbo Team,QB,0,25.0,25.0,standard_rule,False
Justin Herbert,John | Turbo Team,QB,1,28.0,,standard_rule,False
Jahmyr Gibbs,John | Turbo Team,RB,0,96.0,96.0,best_effort_instrument,True
Kenneth Walker III,John | Turbo Team,RB,0,18.0,18.0,best_effort_instrument,True
Kenneth Walker III,John | Turbo Team,RB,1,20.0,,best_effort_instrument,True
Jaxon Smith-Njigba,John | Turbo Team,WR,0,7.0,7.0,standard_rule,False
Amon-Ra St. Brown,John | Turbo Team,WR,0,39.0,39.0,best_effort_instrument,True
Amon-Ra St. Brown,John | Turbo Team,WR,1,48.0,,best_effort_instrument,True
Amon-Ra St. Brown,John | Turbo Team,WR,2,53.0,,best_effort_instrument,True
Nico Collins,John | Turbo Team,WR,0,37.0,37.0,standard_rule,False
Nico Collins,John | Turbo Team,WR,1,41.0,,standard_rule,False
Kyle Pitts,John | Turbo Team,TE,0,16.0,16.0,best_effort_instrument,True
Kyle Pitts,John | Turbo Team,TE,1,18.0,,best_effort_instrument,True
Brenton Strange,John | Turbo Team,TE,0,3.0,3.0,standard_rule,False
Brenton Strange,John | Turbo Team,TE,1,4.0,,standard_rule,False
Brenton Strange,John | Turbo Team,TE,2,5.0,,standard_rule,False
Bo Nix,John | Turbo Team,QB,0,6.0,6.0,standard_rule,False
Kaleb Johnson,John | Turbo Team,RB,0,8.0,2.0,standard_rule,False
Kaleb Johnson,John | Turbo Team,RB,1,9.0,,standard_rule,False
Jack Bech,John | Turbo Team,WR,0,2.0,1.0,standard_rule,False
Jack Bech,John | Turbo Team,WR,1,3.0,,standard_rule,False
Terrance Ferguson,John | Turbo Team,TE,0,2.0,1.0,standard_rule,False
Terrance Ferguson,John | Turbo Team,TE,1,3.0,,standard_rule,False
Elic Ayomanor,John | Turbo Team,WR,0,2.0,1.0,standard_rule,False
Elic Ayomanor,John | Turbo Team,WR,1,3.0,,standard_rule,False
Trevor Etienne,John | Turbo Team,RB,0,1.0,1.0,standard_rule,False
Trevor Etienne,John | Turbo Team,RB,1,2.0,,standard_rule,False
Ollie Gordon II,John | Turbo Team,RB,0,1.0,1.0,standard_rule,False
Ollie Gordon II,John | Turbo Team,RB,1,2.0,,standard_rule,False
Josh Allen,Kermit,QB,0,70.0,70.0,best_effort_instrument,True
Josh Allen,Kermit,QB,1,77.0,,best_effort_instrument,True
Josh Jacobs,Kermit,RB,0,40.0,40.0,best_effort_instrument,True
Josh Jacobs,Kermit,RB,1,44.0,,best_effort_instrument,True
Chuba Hubbard,Kermit,RB,0,39.0,39.0,standard_rule,False
Jaylen Waddle,Kermit,WR,0,28.0,28.0,standard_rule,False
George Kittle,Kermit,TE,0,14.0,14.0,best_effort_instrument,True
Trevor Lawrence,Kermit,QB,0,36.0,36.0,standard_rule,False
Tyler Shough,Kermit,QB,0,2.0,2.0,standard_rule,False
Tyler Shough,Kermit,QB,1,3.0,,standard_rule,False
Adonai Mitchell,Kermit,WR,0,2.0,2.0,standard_rule,False
Adonai Mitchell,Kermit,WR,1,3.0,,standard_rule,False
Troy Franklin,Kermit,WR,0,4.0,1.0,standard_rule,False
Ben Sinnott,Kermit,TE,0,1.0,1.0,standard_rule,False
Pat Bryant,Kermit,WR,0,1.0,1.0,standard_rule,False
Pat Bryant,Kermit,WR,1,2.0,,standard_rule,False
DJ Giddens,Kermit,RB,0,1.0,1.0,standard_rule,False
DJ Giddens,Kermit,RB,1,2.0,,standard_rule,False
Jordan Love,Grayson  | Bargain Bin,QB,0,10.0,10.0,standard_rule,False
Jonathan Taylor,Grayson  | Bargain Bin,RB,0,22.0,22.0,standard_rule,False
Chase Brown,Grayson  | Bargain Bin,RB,0,54.0,54.0,standard_rule,False
Chase Brown,Grayson  | Bargain Bin,RB,1,60.0,,standard_rule,False
Tee Higgins,Grayson  | Bargain Bin,WR,0,27.0,27.0,standard_rule,False
Drake London,Grayson  | Bargain Bin,WR,0,39.0,39.0,standard_rule,False
Drake London,Grayson  | Bargain Bin,WR,1,43.0,,standard_rule,False
Wan'Dale Robinson,Grayson  | Bargain Bin,WR,0,3.0,3.0,standard_rule,False
Wan'Dale Robinson,Grayson  | Bargain Bin,WR,1,4.0,,standard_rule,False
Isaiah Likely,Grayson  | Bargain Bin,TE,0,4.0,4.0,standard_rule,False
Isaiah Likely,Grayson  | Bargain Bin,TE,1,5.0,,standard_rule,False
Isaiah Likely,Grayson  | Bargain Bin,TE,2,6.0,,standard_rule,False
Davante Adams,Grayson  | Bargain Bin,WR,0,27.0,27.0,best_effort_instrument,True
Davante Adams,Grayson  | Bargain Bin,WR,1,30.0,,best_effort_instrument,True
Davante Adams,Grayson  | Bargain Bin,WR,2,33.0,,best_effort_instrument,True
Travis Etienne Jr.,Grayson  | Bargain Bin,RB,0,11.0,11.0,standard_rule,False
Daniel Jones,Grayson  | Bargain Bin,QB,0,2.0,2.0,standard_rule,False
Kyle Monangai,Grayson  | Bargain Bin,RB,0,8.0,8.0,standard_rule,False
Kyler Murray,Grayson  | Bargain Bin,QB,0,21.0,21.0,best_effort_instrument,True
Kyler Murray,Grayson  | Bargain Bin,QB,1,24.0,,best_effort_instrument,True
Malik Washington,Grayson  | Bargain Bin,WR,0,2.0,2.0,standard_rule,False
Xavier Worthy,Grayson  | Bargain Bin,WR,0,10.0,10.0,standard_rule,False
Will Howard,Grayson  | Bargain Bin,QB,0,1.0,1.0,standard_rule,False
Will Howard,Grayson  | Bargain Bin,QB,1,2.0,,standard_rule,False
Jermaine Burton,Grayson  | Bargain Bin,WR,0,2.0,1.0,standard_rule,False
Audric Estimé,Grayson  | Bargain Bin,RB,0,1.0,1.0,standard_rule,False
Jalen Hurts,Turner | Banana Breath,QB,0,61.0,61.0,best_effort_instrument,True
Ashton Jeanty,Turner | Banana Breath,RB,0,16.0,16.0,standard_rule,False
Ashton Jeanty,Turner | Banana Breath,RB,1,18.0,,standard_rule,False
Derrick Henry,Turner | Banana Breath,RB,0,46.0,46.0,best_effort_instrument,True
Derrick Henry,Turner | Banana Breath,RB,1,51.0,,best_effort_instrument,True
Ladd McConkey,Turner | Banana Breath,WR,0,6.0,6.0,standard_rule,False
Courtland Sutton,Turner | Banana Breath,WR,0,5.0,5.0,standard_rule,False
Brock Bowers,Turner | Banana Breath,TE,0,10.0,10.0,standard_rule,False
Quinshon Judkins,Turner | Banana Breath,RB,0,11.0,11.0,standard_rule,False
Quinshon Judkins,Turner | Banana Breath,RB,1,13.0,,standard_rule,False
Patrick Mahomes,Turner | Banana Breath,QB,0,47.0,47.0,standard_rule,False
Travis Hunter,Turner | Banana Breath,WR,0,14.0,14.0,standard_rule,False
Travis Hunter,Turner | Banana Breath,WR,1,16.0,,standard_rule,False
Jacory Croskey-Merritt,Turner | Banana Breath,RB,0,2.0,2.0,standard_rule,False
Jacory Croskey-Merritt,Turner | Banana Breath,RB,1,3.0,,standard_rule,False
Zach Charbonnet,Turner | Banana Breath,RB,0,6.0,6.0,best_effort_instrument,True
Zach Charbonnet,Turner | Banana Breath,RB,1,7.0,,best_effort_instrument,True
Zach Charbonnet,Turner | Banana Breath,RB,2,8.0,,best_effort_instrument,True
Dalton Kincaid,Turner | Banana Breath,TE,0,4.0,4.0,best_effort_instrument,True
Dalton Kincaid,Turner | Banana Breath,TE,1,5.0,,best_effort_instrument,True
Michael Penix Jr.,Turner | Banana Breath,QB,0,5.0,5.0,standard_rule,False
RJ Harvey,Turner | Banana Breath,RB,0,9.0,9.0,standard_rule,False
RJ Harvey,Turner | Banana Breath,RB,1,10.0,,standard_rule,False
J.J. McCarthy,Turner | Banana Breath,QB,0,8.0,2.0,standard_rule,False
