player,team,position,pv_tv,pv_cap,surplus_value,cap_today_current,dead_money_cut_now_nominal,dead_money_cut_now_pv,needs_schedule_validation
Caleb Williams,AJJ | Turf Titans,QB,117.58362598594931,18.0,99.58362598594931,18.0,18.0,18.0,False
Brashard Smith,AJJ | Turf Titans,RB,4.5017151136511195,2.6,1.9017151136511194,1.0,2.0,1.8,False
Omarion Hampton,AJJ | Turf Titans,RB,173.65148387985047,26.8,146.85148387985046,14.0,18.0,17.2,False
Tyjae Spears,AJJ | Turf Titans,RB,9.606035295001018,4.0,5.606035295001018,4.0,4.0,4.0,False
Woody Marks,AJJ | Turf Titans,RB,21.682342918571592,4.4,17.282342918571594,2.0,3.0,2.8,False
Dalton Schultz,AJJ | Turf Titans,TE,0.39012283862963126,2.0,-1.6098771613703686,2.0,2.0,2.0,False
Brian Thomas Jr.,AJJ | Turf Titans,WR,23.215071635259974,6.0,17.215071635259974,6.0,6.0,6.0,False
DK Metcalf,AJJ | Turf Titans,WR,37.578725778477356,24.0,13.578725778477356,24.0,24.0,24.0,False
Deebo Samuel Sr.,AJJ | Turf Titans,WR,0.015757019691205673,27.0,-26.984242980308796,27.0,27.0,27.0,False
Jalen Coker,AJJ | Turf Titans,WR,0.015757019691205673,4.4,-4.384242980308795,2.0,3.0,2.8,False
Malik Nabers,AJJ | Turf Titans,WR,119.82442705991895,16.0,103.82442705991895,16.0,16.0,16.0,False
Matthew Golden,AJJ | Turf Titans,WR,0.015757019691205673,9.8,-9.784242980308795,5.0,7.0,6.6,False
Rome Odunze,AJJ | Turf Titans,WR,37.578725778477356,13.0,24.578725778477356,13.0,13.0,13.0,False
Tre Harris,AJJ | Turf Titans,WR,0.015757019691205673,8.0,-7.984242980308794,1.0,6.0,5.6,False
Brock Purdy,BG | 2 Rice 2 Addison,QB,89.88379889838751,24.0,65.88379889838751,24.0,24.0,24.0,False
C.J. Stroud,BG | 2 Rice 2 Addison,QB,33.08332088017,4.0,29.08332088017,4.0,4.0,4.0,False
