team,player,position,current_salary,real_salary,extension_salary,years_remaining,ps_eligible,has_been_extended,has_been_tagged,contract_eligible,extension_eligible,tag_eligible,contract_type_bucket,needs_schedule_validation
That One Egg Was 40 Yards,Drake Maye,QB,13.0,13.0,29.0,2,False,False,False,False,True,False,standard,False
That One Egg Was 40 Yards,Bijan Robinson,RB,76.0,76.0,84.0,2,False,True,False,False,False,False,instrument_adjusted,True
That One Egg Was 40 Yards,James Cook,RB,32.0,32.0,36.0,2,False,True,False,False,False,False,instrument_adjusted,True
That One Egg Was 40 Yards,Ja'Marr Chase,WR,70.0,70.0,77.0,1,False,True,False,False,False,False,instrument_adjusted,True
That One Egg Was 40 Yards,Garrett Wilson,WR,53.0,53.0,59.0,1,False,False,True,False,False,False,instrument_adjusted,True
That One Egg Was 40 Yards,Jakobi Meyers,WR,12.0,12.0,14.0,2,False,True,False,False,False,False,instrument_adjusted,True
That One Egg Was 40 Yards,Josh Downs,WR,4.0,4.0,5.0,2,False,False,False,False,False,False,standard,False
That One Egg Was 40 Yards,Jayden Daniels,QB,13.0,13.0,17.0,4,False,True,False,False,False,False,instrument_adjusted,True
That One Egg Was 40 Yards,Mason Taylor,TE,1.0,1.0,2.0,2,True,False,False,False,False,False,standard,False
That One Egg Was 40 Yards,Trey Benson,RB,1.0,4.0,5.0,1,True,False,False,False,True,False,standard,False
That One Egg Was 40 Yards,Cade Stover,TE,1.0,1.0,2.0,2,True,False,False,False,False,False,standard,False
That One Egg Was 40 Yards,Elijah Arroyo,TE,1.0,1.0,2.0,2,True,False,False,False,False,False,standard,False
That One Egg Was 40 Yards,Konata Mumpfield,WR,1.0,1.0,2.0,2,True,False,False,False,False,False,standard,False
That One Egg Was 40 Yards,Tahj Brooks,RB,1.0,2.0,3.0,2,True,False,False,False,False,False,standard,False
That One Egg Was 40 Yards,Arian Smith,WR,1.0,1.0,2.0,3,True,False,False,False,False,False,standard,False
That One Egg Was 40 Yards,Jalen Royals,WR,1.0,2.0,3.0,2,True,False,False,False,False,False,standard,False
Mike Vick In A Box,Tony Pollard,RB,51.0,51.0,57.0,1,False,True,False,False,False,False,instrument_adjusted,True
