team,current_cap_usage,real_cap_y0,real_cap_y1,real_cap_y2,real_cap_y3,total_pv_cap,total_pv_tv,total_surplus,dead_money_cut_now_nominal,dead_money_cut_now_pv,validation_player_count,validation_current_salary,validation_real_salary,validation_pv_cap
AJJ | Turf Titans,135.0,138.0,35.0,0.0,0.0,166.0,646.174224332026,480.1742243320261,149.0,146.8,0,0.0,0.0,0.0
BG | 2 Rice 2 Addison,136.0,153.0,69.0,5.0,0.0,211.4,1318.213663154154,1106.8136631541538,176.0,171.4,1,3.0,3.0,6.2
Box of Broken Toys,102.0,121.0,74.0,12.0,0.0,187.88,357.2212743238272,175.3412743238272,145.0,140.2,3,33.0,33.0,57.0
Grayson  | Bargain Bin,243.0,244.0,168.0,39.0,0.0,403.36,1131.056035060406,733.296035060406,296.0,285.6,2,48.0,48.0,112.32000000000001
John | Turbo Team,254.0,263.0,181.0,58.0,0.0,444.92,1344.372674069577,899.452674069577,323.0,311.0,4,169.0,169.0,271.71999999999997
Kermit,235.0,238.0,131.0,0.0,0.0,342.8,776.587628612065,433.78762861206496,273.0,266.0,3,124.0,124.0,220.8
Mike Vick In A Box,262.0,271.0,156.0,111.0,0.0,466.84,959.4696528842791,497.6296528842791,339.0,325.4,3,123.0,123.0,243.95999999999998
Slow Striders,177.0,188.0,170.0,17.0,0.0,334.88,1046.8182162859368,719.938216285937,237.0,227.2,3,62.0,62.0,130.48
That One Egg Was 40 Yards,281.0,286.0,195.0,22.0,21.0,466.832,1454.0894229635844,989.8574229635844,345.0,333.2,6,256.0,256.0,399.712
Turner | Banana Breath,244.0,250.0,123.0,8.0,0.0,353.52,1093.5594169088033,740.0394169088033,286.0,278.8,4,117.0,117.0,172.51999999999998
