season,week,player_id,player,team,position,opponent,projected_points,source,loaded_at
2025,17,18877,Christian McCaffrey,SF,RB,CHI,21.5,fantasydata.weekly_projections,2026-04-10T02:02:54.178906+00:00
2025,17,18055,Dak Prescott,DAL,QB,WAS,21.1,fantasydata.weekly_projections,2026-04-10T02:02:54.178906+00:00
2025,17,24958,Drake Maye,NE,QB,NYJ,20.9,fantasydata.weekly_projections,2026-04-10T02:02:54.178906+00:00
2025,17,19801,Josh Allen,BUF,QB,PHI,19.8,fantasydata.weekly_projections,2026-04-10T02:02:54.178906+00:00
2025,17,21693,Joe Burrow,CIN,QB,ARI,19.7,fantasydata.weekly_projections,2026-04-10T02:02:54.178906+00:00
2025,17,21831,Jalen Hurts,PHI,QB,BUF,19.7,fantasydata.weekly_projections,2026-04-10T02:02:54.178906+00:00
2025,17,24172,Puka Nacua,LAR,WR,ATL,19.5,fantasydata.weekly_projections,2026-04-10T02:02:54.178906+00:00
2025,17,18018,Jacoby Brissett,ARI,QB,CIN,19.4,fantasydata.weekly_projections,2026-04-10T02:02:54.178906+00:00
2025,17,23241,Brock Purdy,SF,QB,CHI,19.3,fantasydata.weekly_projections,2026-04-10T02:02:54.178906+00:00
2025,17,22490,Trevor Lawrence,JAX,QB,IND,19.1,fantasydata.weekly_projections,2026-04-10T02:02:54.178906+00:00
2025,17,9038,Matthew Stafford,LAR,QB,ATL,18.8,fantasydata.weekly_projections,2026-04-10T02:02:54.178906+00:00
2025,17,24179,De'Von Achane,MIA,RB,TB,18.6,fantasydata.weekly_projections,2026-04-10T02:02:54.178906+00:00
2025,17,23189,Bijan Robinson,ATL,RB,LAR,18.6,fantasydata.weekly_projections,2026-04-10T02:02:54.178906+00:00
2025,17,23200,Jahmyr Gibbs,DET,RB,MIN,18.6,fantasydata.weekly_projections,2026-04-10T02:02:54.178906+00:00
2025,17,21682,Jonathan Taylor,IND,RB,JAX,17.8,fantasydata.weekly_projections,2026-04-10T02:02:54.178906+00:00
2025,17,24927,Caleb Williams,CHI,QB,SF,17.6,fantasydata.weekly_projections,2026-04-10T02:02:54.178906+00:00
2025,17,23187,Tyler Shough,NO,QB,TEN,17.2,fantasydata.weekly_projections,2026-04-10T02:02:54.178906+00:00
2025,17,23157,Jaxon Smith-Njigba,SEA,WR,CAR,17.1,fantasydata.weekly_projections,2026-04-10T02:02:54.178906+00:00
2025,17,22564,Ja'Marr Chase,CIN,WR,ARI,17.1,fantasydata.weekly_projections,2026-04-10T02:02:54.178906+00:00
2025,17,26082,Jaxson Dart,NYG,QB,LV,17.0,fantasydata.weekly_projections,2026-04-10T02:02:54.178906+00:00
2025,17,25069,Bo Nix,DEN,QB,KC,16.9,fantasydata.weekly_projections,2026-04-10T02:02:54.178906+00:00
2025,17,25868,Ashton Jeanty,LV,RB,NYG,16.9,fantasydata.weekly_projections,2026-04-10T02:02:54.178906+00:00
2025,17,19790,Baker Mayfield,TB,QB,MIA,16.7,fantasydata.weekly_projections,2026-04-10T02:02:54.178906+00:00
2025,17,23247,James Cook,BUF,RB,PHI,16.5,fantasydata.weekly_projections,2026-04-10T02:02:54.178906+00:00
2025,17,17922,Jared Goff,DET,QB,MIN,16.4,fantasydata.weekly_projections,2026-04-10T02:02:54.178906+00:00
2025,17,19766,Saquon Barkley,PHI,RB,BUF,15.9,fantasydata.weekly_projections,2026-04-10T02:02:54.178906+00:00
2025,17,23118,Malik Willis,GB,QB,BAL,15.8,fantasydata.weekly_projections,2026-04-10T02:02:54.178906+00:00
2025,17,21681,Justin Herbert,LAC,QB,HOU,15.7,fantasydata.weekly_projections,2026-04-10T02:02:54.178906+00:00
2025,17,19812,Sam Darnold,SEA,QB,CAR,15.6,fantasydata.weekly_projections,2026-04-10T02:02:54.178906+00:00
2025,17,23251,Trey McBride,ARI,TE,CIN,15.3,fantasydata.weekly_projections,2026-04-10T02:02:54.178906+00:00
2025,17,21679,CeeDee Lamb,DAL,WR,WAS,15.1,fantasydata.weekly_projections,2026-04-10T02:02:54.178906+00:00
2025,17,22587,Amon-Ra St. Brown,DET,WR,MIN,15.0,fantasydata.weekly_projections,2026-04-10T02:02:54.178906+00:00
2025,17,23239,C.J. Stroud,HOU,QB,LAC,14.8,fantasydata.weekly_projections,2026-04-10T02:02:54.178906+00:00
2025,17,21696,Travis Etienne Jr.,JAX,RB,IND,14.7,fantasydata.weekly_projections,2026-04-10T02:02:54.178906+00:00
2025,17,6489,Josh Johnson,WAS,QB,DAL,14.5,fantasydata.weekly_projections,2026-04-10T02:02:54.178906+00:00
2025,17,24374,Chase Brown,CIN,RB,ARI,14.4,fantasydata.weekly_projections,2026-04-10T02:02:54.178906+00:00
2025,17,23153,George Pickens,DAL,WR,WAS,14.4,fantasydata.weekly_projections,2026-04-10T02:02:54.178906+00:00
2025,17,22558,Javonte Williams,DAL,RB,WAS,14.2,fantasydata.weekly_projections,2026-04-10T02:02:54.178906+00:00
2025,17,14895,Geno Smith,LV,QB,NYG,14.1,fantasydata.weekly_projections,2026-04-10T02:02:54.178906+00:00
2025,17,17959,Derrick Henry,BAL,RB,GB,13.9,fantasydata.weekly_projections,2026-04-10T02:02:54.178906+00:00
2025,17,14252,Kirk Cousins,ATL,QB,LAR,13.9,fantasydata.weekly_projections,2026-04-10T02:02:54.178906+00:00
2025,17,25956,Omarion Hampton,LAC,RB,HOU,13.7,fantasydata.weekly_projections,2026-04-10T02:02:54.178906+00:00
2025,17,22565,Chris Olave,NO,WR,TEN,13.6,fantasydata.weekly_projections,2026-04-10T02:02:54.178906+00:00
2025,17,20824,Josh Jacobs,GB,RB,BAL,13.5,fantasydata.weekly_projections,2026-04-10T02:02:54.178906+00:00
2025,17,23132,Bryce Young,CAR,QB,SEA,13.4,fantasydata.weekly_projections,2026-04-10T02:02:54.178906+00:00
2025,17,21810,Tyler Huntley,BAL,QB,GB,13.2,fantasydata.weekly_projections,2026-04-10T02:02:54.178906+00:00
2025,17,23212,Kyren Williams,LAR,RB,ATL,13.1,fantasydata.weekly_projections,2026-04-10T02:02:54.178906+00:00
2025,17,2593,Aaron Rodgers,PIT,QB,CLE,13.1,fantasydata.weekly_projections,2026-04-10T02:02:54.178906+00:00
2025,17,21756,Nico Collins,HOU,WR,LAC,13.0,fantasydata.weekly_projections,2026-04-10T02:02:54.178906+00:00
2025,17,26048,Quinn Ewers,MIA,QB,TB,13.0,fantasydata.weekly_projections,2026-04-10T02:02:54.178906+00:00
2025,17,23151,Drake London,ATL,WR,LAR,12.9,fantasydata.weekly_projections,2026-04-10T02:02:54.178906+00:00
2025,17,25323,Cam Ward,TEN,QB,NO,12.8,fantasydata.weekly_projections,2026-04-10T02:02:54.178906+00:00
2025,17,24967,Bucky Irving,TB,RB,MIA,12.7,fantasydata.weekly_projections,2026-04-10T02:02:54.178906+00:00
2025,17,25944,RJ Harvey,DEN,RB,KC,12.6,fantasydata.weekly_projections,2026-04-10T02:02:54.178906+00:00
2025,17,21690,Tee Higgins,CIN,WR,ARI,12.5,fantasydata.weekly_projections,2026-04-10T02:02:54.178906+00:00
2025,17,16597,Mike Evans,TB,WR,MIA,12.5,fantasydata.weekly_projections,2026-04-10T02:02:54.178906+00:00
2025,17,26079,Shedeur Sanders,CLE,QB,PIT,12.4,fantasydata.weekly_projections,2026-04-10T02:02:54.178906+00:00
2025,17,8244,Philip Rivers,IND,QB,JAX,12.3,fantasydata.weekly_projections,2026-04-10T02:02:54.178906+00:00
2025,17,22526,Breece Hall,NYJ,RB,NE,11.9,fantasydata.weekly_projections,2026-04-10T02:02:54.178906+00:00
2025,17,26083,Max Brosmer,MIN,QB,DET,11.8,fantasydata.weekly_projections,2026-04-10T02:02:54.178906+00:00
2025,17,21042,A.J. Brown,PHI,WR,BUF,11.8,fantasydata.weekly_projections,2026-04-10T02:02:54.178906+00:00
2025,17,23245,TreVeyon Henderson,NE,RB,NYJ,11.6,fantasydata.weekly_projections,2026-04-10T02:02:54.178906+00:00
2025,17,23479,Jaylen Warren,PIT,RB,CLE,11.6,fantasydata.weekly_projections,2026-04-10T02:02:54.178906+00:00
2025,17,19045,Aaron Jones Sr.,MIN,RB,DET,11.6,fantasydata.weekly_projections,2026-04-10T02:02:54.178906+00:00
2025,17,23214,Kenneth Walker III,SEA,RB,CAR,11.5,fantasydata.weekly_projections,2026-04-10T02:02:54.178906+00:00
2025,17,25092,Tyrone Tracy Jr.,NYG,RB,LV,11.5,fantasydata.weekly_projections,2026-04-10T02:02:54.178906+00:00
2025,17,21684,D'Andre Swift,CHI,RB,SF,11.5,fantasydata.weekly_projections,2026-04-10T02:02:54.178906+00:00
2025,17,19800,Courtland Sutton,DEN,WR,KC,11.3,fantasydata.weekly_projections,2026-04-10T02:02:54.178906+00:00
2025,17,16906,Stefon Diggs,NE,WR,NYJ,11.3,fantasydata.weekly_projections,2026-04-10T02:02:54.178906+00:00
2025,17,23234,Jameson Williams,DET,WR,MIN,11.2,fantasydata.weekly_projections,2026-04-10T02:02:54.178906+00:00
2025,17,22562,Kenneth Gainwell,PIT,RB,CLE,11.2,fantasydata.weekly_projections,2026-04-10T02:02:54.178906+00:00
2025,17,22598,Jaylen Waddle,MIA,WR,TB,11.1,fantasydata.weekly_projections,2026-04-10T02:02:54.178906+00:00
2025,17,22546,Rhamondre Stevenson,NE,RB,NYJ,10.9,fantasydata.weekly_projections,2026-04-10T02:02:54.178906+00:00
2025,17,24173,Michael Wilson,ARI,WR,CIN,10.8,fantasydata.weekly_projections,2026-04-10T02:02:54.178906+00:00
2025,17,26084,Brady Cook,NYJ,QB,NE,10.8,fantasydata.weekly_projections,2026-04-10T02:02:54.178906+00:00
2025,17,20876,Jakobi Meyers,JAX,WR,IND,10.7,fantasydata.weekly_projections,2026-04-10T02:02:54.178906+00:00
2025,17,26259,Jacory Croskey-Merritt,WAS,RB,DAL,10.7,fantasydata.weekly_projections,2026-04-10T02:02:54.178906+00:00
2025,17,26054,Tetairoa McMillan,CAR,WR,SEA,10.6,fantasydata.weekly_projections,2026-04-10T02:02:54.178906+00:00
2025,17,21717,Jauan Jennings,SF,WR,CHI,10.6,fantasydata.weekly_projections,2026-04-10T02:02:54.178906+00:00
2025,17,20873,Terry McLaurin,WAS,WR,DAL,10.6,fantasydata.weekly_projections,2026-04-10T02:02:54.178906+00:00
2025,17,22553,Michael Carter,ARI,RB,CIN,10.5,fantasydata.weekly_projections,2026-04-10T02:02:54.178906+00:00
2025,17,23629,Chris Oladokun,KC,QB,DEN,10.5,fantasydata.weekly_projections,2026-04-10T02:02:54.178906+00:00
2025,17,21685,Justin Jefferson,MIN,WR,DET,10.4,fantasydata.weekly_projections,2026-04-10T02:02:54.178906+00:00
2025,17,24974,Marvin Harrison Jr.,ARI,WR,CIN,10.4,fantasydata.weekly_projections,2026-04-10T02:02:54.178906+00:00
2025,17,21952,Rico Dowdle,CAR,RB,SEA,10.3,fantasydata.weekly_projections,2026-04-10T02:02:54.178906+00:00
2025,17,19844,DJ Moore,CHI,WR,SF,10.2,fantasydata.weekly_projections,2026-04-10T02:02:54.178906+00:00
2025,17,23170,Wan'Dale Robinson,NYG,WR,LV,10.0,fantasydata.weekly_projections,2026-04-10T02:02:54.178906+00:00
2025,17,23120,Zay Flowers,BAL,WR,GB,9.9,fantasydata.weekly_projections,2026-04-10T02:02:54.178906+00:00
2025,17,25870,Harold Fannin Jr.,CLE,TE,PIT,9.8,fantasydata.weekly_projections,2026-04-10T02:02:54.178906+00:00
2025,17,25942,Woody Marks,HOU,RB,LAC,9.8,fantasydata.weekly_projections,2026-04-10T02:02:54.178906+00:00
2025,17,20912,Tony Pollard,TEN,RB,NO,9.8,fantasydata.weekly_projections,2026-04-10T02:02:54.178906+00:00
2025,17,24933,Brian Thomas Jr.,JAX,WR,IND,9.7,fantasydata.weekly_projections,2026-04-10T02:02:54.178906+00:00
2025,17,21687,DeVonta Smith,PHI,WR,BUF,9.7,fantasydata.weekly_projections,2026-04-10T02:02:54.178906+00:00
2025,17,21744,Michael Pittman Jr.,IND,WR,JAX,9.5,fantasydata.weekly_projections,2026-04-10T02:02:54.178906+00:00
2025,17,20932,Deebo Samuel Sr.,WAS,WR,DAL,9.4,fantasydata.weekly_projections,2026-04-10T02:02:54.178906+00:00
2025,17,25952,Kyle Monangai,CHI,RB,SF,9.3,fantasydata.weekly_projections,2026-04-10T02:02:54.178906+00:00
2025,17,21738,Juwan Johnson,NO,TE,TEN,9.2,fantasydata.weekly_projections,2026-04-10T02:02:54.178906+00:00
2025,17,25097,Ladd McConkey,LAC,WR,HOU,9.1,fantasydata.weekly_projections,2026-04-10T02:02:54.178906+00:00
2025,17,22508,Kyle Pitts Sr.,ATL,TE,LAR,9.0,fantasydata.weekly_projections,2026-04-10T02:02:54.178906+00:00
2025,17,24116,Blake Corum,LAR,RB,ATL,9.0,fantasydata.weekly_projections,2026-04-10T02:02:54.178906+00:00
2025,17,17975,Hunter Henry,NE,TE,NYJ,9.0,fantasydata.weekly_projections,2026-04-10T02:02:54.178906+00:00
2025,17,23173,Zach Charbonnet,SEA,RB,CAR,8.8,fantasydata.weekly_projections,2026-04-10T02:02:54.178906+00:00
2025,17,23138,Jake Ferguson,DAL,TE,WAS,8.7,fantasydata.weekly_projections,2026-04-10T02:02:54.178906+00:00
2025,17,23232,Alec Pierce,IND,WR,JAX,8.5,fantasydata.weekly_projections,2026-04-10T02:02:54.178906+00:00
2025,17,23395,Christian Watson,GB,WR,BAL,8.5,fantasydata.weekly_projections,2026-04-10T02:02:54.178906+00:00
2025,17,24177,Tre Tucker,LV,WR,NYG,8.5,fantasydata.weekly_projections,2026-04-10T02:02:54.178906+00:00
2025,17,18880,Chris Godwin Jr.,TB,WR,MIA,8.5,fantasydata.weekly_projections,2026-04-10T02:02:54.178906+00:00
2025,17,20882,David Montgomery,DET,RB,MIN,8.4,fantasydata.weekly_projections,2026-04-10T02:02:54.178906+00:00
2025,17,23371,Isiah Pacheco,KC,RB,DEN,8.4,fantasydata.weekly_projections,2026-04-10T02:02:54.178906+00:00
2025,17,25874,Tyler Warren,IND,TE,JAX,8.3,fantasydata.weekly_projections,2026-04-10T02:02:54.178906+00:00
2025,17,23227,Khalil Shakir,BUF,WR,PHI,8.2,fantasydata.weekly_projections,2026-04-10T02:02:54.178906+00:00
2025,17,24223,Brenton Strange,JAX,TE,IND,8.2,fantasydata.weekly_projections,2026-04-10T02:02:54.178906+00:00
2025,17,23162,Jordan Addison,MIN,WR,DET,8.1,fantasydata.weekly_projections,2026-04-10T02:02:54.178906+00:00
2025,17,24982,Ricky Pearsall,SF,WR,CHI,8.1,fantasydata.weekly_projections,2026-04-10T02:02:54.178906+00:00
2025,17,23233,Jayden Reed,GB,WR,BAL,8.0,fantasydata.weekly_projections,2026-04-10T02:02:54.178906+00:00
2025,17,24226,Quentin Johnston,LAC,WR,HOU,8.0,fantasydata.weekly_projections,2026-04-10T02:02:54.178906+00:00
2025,17,24973,Troy Franklin,DEN,WR,KC,7.9,fantasydata.weekly_projections,2026-04-10T02:02:54.178906+00:00
2025,17,19238,Taysom Hill,NO,QB,TEN,7.9,fantasydata.weekly_projections,2026-04-10T02:02:54.178906+00:00
2025,17,24143,Parker Washington,JAX,WR,IND,7.9,fantasydata.weekly_projections,2026-04-10T02:02:54.178906+00:00
2025,17,19863,Dallas Goedert,PHI,TE,BUF,7.9,fantasydata.weekly_projections,2026-04-10T02:02:54.178906+00:00
2025,17,26092,Emeka Egbuka,TB,WR,MIA,7.8,fantasydata.weekly_projections,2026-04-10T02:02:54.178906+00:00
2025,17,23729,Rashid Shaheed,SEA,WR,CAR,7.8,fantasydata.weekly_projections,2026-04-10T02:02:54.178906+00:00
2025,17,24123,Tyjae Spears,TEN,RB,NO,7.7,fantasydata.weekly_projections,2026-04-10T02:02:54.178906+00:00
2025,17,24145,Josh Downs,IND,WR,JAX,7.6,fantasydata.weekly_projections,2026-04-10T02:02:54.178906+00:00
2025,17,25106,AJ Barner,SEA,TE,CAR,7.6,fantasydata.weekly_projections,2026-04-10T02:02:54.178906+00:00
2025,17,25869,Colston Loveland,CHI,TE,SF,7.6,fantasydata.weekly_projections,2026-04-10T02:02:54.178906+00:00
2025,17,24971,Audric Estimé,NO,RB,TEN,7.6,fantasydata.weekly_projections,2026-04-10T02:02:54.178906+00:00
2025,17,18882,Cooper Kupp,SEA,WR,CAR,7.5,fantasydata.weekly_projections,2026-04-10T02:02:54.178906+00:00
2025,17,24954,Adonai Mitchell,NYJ,WR,NE,7.5,fantasydata.weekly_projections,2026-04-10T02:02:54.178906+00:00
2025,17,24924,Xavier Worthy,KC,WR,DEN,7.3,fantasydata.weekly_projections,2026-04-10T02:02:54.178906+00:00
2025,17,19920,Dalton Schultz,HOU,TE,LAC,7.3,fantasydata.weekly_projections,2026-04-10T02:02:54.178906+00:00
2025,17,21807,Colby Parkinson,LAR,TE,ATL,7.3,fantasydata.weekly_projections,2026-04-10T02:02:54.178906+00:00
2025,17,16964,Darren Waller,MIA,TE,TB,7.3,fantasydata.weekly_projections,2026-04-10T02:02:54.178906+00:00
2025,17,21691,Chuba Hubbard,CAR,RB,SEA,7.3,fantasydata.weekly_projections,2026-04-10T02:02:54.178906+00:00
2025,17,15048,Travis Kelce,KC,TE,DEN,7.2,fantasydata.weekly_projections,2026-04-10T02:02:54.178906+00:00
2025,17,25122,Jalen Coker,CAR,WR,SEA,7.2,fantasydata.weekly_projections,2026-04-10T02:02:54.178906+00:00
2025,17,19065,Jeremy McNichols,WAS,RB,DAL,7.2,fantasydata.weekly_projections,2026-04-10T02:02:54.178906+00:00
2025,17,25889,Dylan Sampson,CLE,RB,PIT,7.1,fantasydata.weekly_projections,2026-04-10T02:02:54.178906+00:00
2025,17,20943,Darius Slayton,NYG,WR,LV,7.0,fantasydata.weekly_projections,2026-04-10T02:02:54.178906+00:00
