season,position,n,mae,spearman_rho,coverage_p25_p75
2016,QB,28,26.59459899273525,0.3432104622214518,0.32142857142857145
2016,RB,56,30.585089583988413,0.4193441494016848,0.39285714285714285
2016,TE,21,9.618225509980125,0.5260269555808529,0.5238095238095238
2016,WR,60,23.766337182696848,0.6263866431615186,0.45
2016,ALL,165,24.759859122250496,0.5475922362944735,0.41818181818181815
2017,QB,33,24.444609498476456,0.5313537525971844,0.21212121212121213
2017,RB,51,28.785290091080384,0.5252099130159738,0.47058823529411764
2017,TE,20,15.616193959121798,0.30237157840738177,0.1
2017,WR,58,20.50190013681803,0.5550259981051038,0.3448275862068966
2017,ALL,162,23.309604908720395,0.610993864603207,0.3271604938271605
2018,QB,36,24.473953255765576,0.5202798726268327,0.3611111111111111
2018,RB,63,27.64261009034969,0.4574389747047422,0.3333333333333333
2018,TE,22,18.07710553233106,0.1076327575997724,0.2727272727272727
2018,WR,74,19.4278269026832,0.6821190450075417,0.33783783783783783
2018,ALL,195,22.861037258509906,0.6156662698821141,0.3333333333333333
2019,QB,31,24.068873023072133,0.6701158922578305,0.45161290322580644
2019,RB,57,26.746559376899388,0.7572882457692983,0.5263157894736842
2019,TE,20,9.661468156499417,0.5259007077472279,0.45
2019,WR,61,17.887891345900638,0.5286051109825469,0.4918032786885246
2019,ALL,169,21.03597445815638,0.6777067024239843,0.4911242603550296
2020,QB,33,30.029403068433545,0.5387449855308328,0.3333333333333333
2020,RB,52,25.649735843819506,0.5568734379449576,0.5
2020,TE,20,14.885841584928542,0.11986642865340501,0.6
2020,WR,62,21.851975661329213,0.6218858584210611,0.3548387096774194
2020,ALL,167,23.816143040945533,0.6365669588654069,0.4251497005988024
2021,QB,32,29.424218368575243,0.691057591016707,0.375
2021,RB,51,24.511594305151746,0.6816379747109732,0.5294117647058824
2021,TE,19,14.142322484351771,0.5337361498740144,0.5263157894736842
2021,WR,56,25.08826576171146,0.49422471439977106,0.44642857142857145
2021,ALL,158,24.46400827351691,0.5945479401465357,0.46835443037974683
2022,QB,34,31.566178712291297,0.6240336635106977,0.4117647058823529
2022,RB,56,23.344408777979222,0.6222236807516479,0.4642857142857143
2022,TE,20,10.491083772566128,0.37741185900608615,0.55
2022,WR,62,20.458770961127378,0.6631966001959222,0.4838709677419355
2022,ALL,172,22.434897923406748,0.6456353707038496,0.47093023255813954
2023,QB,29,26.724621975753976,0.603685191548479,0.5172413793103449
2023,RB,47,28.454073953036,0.4827130361112054,0.3617021276595745
2023,TE,16,13.836179512776138,0.2843157958548938,0.3125
2023,WR,56,22.79027957806058,0.7593536314474476,0.44642857142857145
2023,ALL,148,24.39182460584708,0.638057635326373,0.4189189189189189
2024,QB,33,36.73144233490501,0.3822104735219897,0.18181818181818182
2024,RB,49,34.876737333519934,0.5358473167127732,0.3469387755102041
2024,TE,19,19.651169786001322,0.3194390539996433,0.21052631578947367
2024,WR,66,21.43674261325539,0.5542066514282655,0.3939393939393939
2024,ALL,167,28.19937104672589,0.5064428978216717,0.31736526946107785
2025,QB,32,30.937088359752707,0.42657767545997805,0.5
2025,RB,47,28.904974823292132,0.6860655018794026,0.5531914893617021
2025,TE,17,18.153152158062802,0.5720001260206548,0.11764705882352941
2025,WR,67,23.10197932271738,0.6157437166289815,0.47761194029850745
2025,ALL,163,25.79728126083404,0.6228411687569582,0.4662576687116564
OVERALL,QB,321,28.540349200313223,0.507574425315149,0.3644859813084112
OVERALL,RB,529,27.869287369304036,0.5534386597338382,0.44612476370510395
OVERALL,TE,194,14.354791850058652,0.3118237466484955,0.3711340206185567
OVERALL,WR,622,21.56114703940871,0.5829753152246332,0.4212218649517685
OVERALL,ALL,1666,24.069728804973575,0.6018047584487969,0.41236494597839135
