season,week,player_id,player,team,position,opponent,projected_points,source,loaded_at
2015,6,15816,M White,GB,WR,LAC,0.0,fantasydata.weekly_projections,2026-04-10T02:02:52.896075+00:00
2015,6,15816,M White,NYG,WR,PHI,0.0,fantasydata.weekly_projections,2026-04-10T02:02:52.896075+00:00
2015,9,15816,M White,GB,WR,CAR,0.1,fantasydata.weekly_projections,2026-04-10T02:02:52.896075+00:00
2015,9,15816,M White,NYG,WR,TB,0.0,fantasydata.weekly_projections,2026-04-10T02:02:52.896075+00:00
2015,10,15816,M White,GB,WR,DET,0.7,fantasydata.weekly_projections,2026-04-10T02:02:52.896075+00:00
2015,10,15816,M White,NYG,WR,NE,0.0,fantasydata.weekly_projections,2026-04-10T02:02:52.896075+00:00
2015,12,15816,M White,GB,WR,CHI,0.8,fantasydata.weekly_projections,2026-04-10T02:02:52.896075+00:00
2015,12,15816,M White,NYG,WR,WAS,0.0,fantasydata.weekly_projections,2026-04-10T02:02:52.896075+00:00
2015,16,15816,M White,GB,WR,ARI,2.7,fantasydata.weekly_projections,2026-04-10T02:02:52.896075+00:00
2015,16,15816,M White,NYG,WR,MIN,0.0,fantasydata.weekly_projections,2026-04-10T02:02:52.896075+00:00
2015,17,15816,M White,GB,WR,MIN,0.7,fantasydata.weekly_projections,2026-04-10T02:02:52.896075+00:00
2015,17,15816,M White,NYG,WR,PHI,0.0,fantasydata.weekly_projections,2026-04-10T02:02:52.896075+00:00
2024,1,16263,Allen Robinson II,DET,WR,LAR,0.0,fantasydata.weekly_projections,2026-04-10T02:02:52.896075+00:00
2024,1,16263,Allen Robinson II,NYG,WR,MIN,0.0,fantasydata.weekly_projections,2026-04-10T02:02:52.896075+00:00
2024,1,17179,Taylor Heinicke,ATL,QB,PIT,0.1,fantasydata.weekly_projections,2026-04-10T02:02:52.896075+00:00
2024,1,17179,Taylor Heinicke,LAC,QB,LV,0.0,fantasydata.weekly_projections,2026-04-10T02:02:52.896075+00:00
2024,1,17223,Eric Tomlinson,IND,TE,HOU,0.0,fantasydata.weekly_projections,2026-04-10T02:02:52.896075+00:00
2024,1,17223,Eric Tomlinson,LAC,TE,LV,0.0,fantasydata.weekly_projections,2026-04-10T02:02:52.896075+00:00
2024,1,18187,Robbie Chosen,MIA,WR,JAX,0.1,fantasydata.weekly_projections,2026-04-10T02:02:52.896075+00:00
2024,1,18187,Robbie Chosen,SF,WR,NYJ,0.0,fantasydata.weekly_projections,2026-04-10T02:02:52.896075+00:00
2024,1,18883,JuJu Smith-Schuster,KC,WR,BAL,2.1,fantasydata.weekly_projections,2026-04-10T02:02:52.896075+00:00
2024,1,18883,JuJu Smith-Schuster,NE,WR,CIN,2.3,fantasydata.weekly_projections,2026-04-10T02:02:52.896075+00:00
2024,1,18993,Samaje Perine,DEN,RB,SEA,0.0,fantasydata.weekly_projections,2026-04-10T02:02:52.896075+00:00
2024,1,18993,Samaje Perine,KC,RB,BAL,3.1,fantasydata.weekly_projections,2026-04-10T02:02:52.896075+00:00
2024,1,19029,Nathan Peterman,ATL,QB,PIT,0.0,fantasydata.weekly_projections,2026-04-10T02:02:52.896075+00:00
2024,1,19029,Nathan Peterman,LV,QB,LAC,0.0,fantasydata.weekly_projections,2026-04-10T02:02:52.896075+00:00
2024,1,19029,Nathan Peterman,NO,QB,CAR,0.3,fantasydata.weekly_projections,2026-04-10T02:02:52.896075+00:00
2024,1,19080,Noah Brown,HOU,WR,IND,3.1,fantasydata.weekly_projections,2026-04-10T02:02:52.896075+00:00
2024,1,19080,Noah Brown,WAS,WR,TB,0.0,fantasydata.weekly_projections,2026-04-10T02:02:52.896075+00:00
2024,1,19207,Tim Patrick,DEN,WR,SEA,0.0,fantasydata.weekly_projections,2026-04-10T02:02:52.896075+00:00
2024,1,19207,Tim Patrick,DET,WR,LAR,0.6,fantasydata.weekly_projections,2026-04-10T02:02:52.896075+00:00
2024,1,19957,John Kelly,BAL,RB,KC,0.0,fantasydata.weekly_projections,2026-04-10T02:02:52.896075+00:00
2024,1,19957,John Kelly,CLE,RB,DAL,0.2,fantasydata.weekly_projections,2026-04-10T02:02:52.896075+00:00
2024,1,19972,Mike White,BUF,QB,ARI,0.0,fantasydata.weekly_projections,2026-04-10T02:02:52.896075+00:00
2024,1,19972,Mike White,MIA,QB,JAX,0.0,fantasydata.weekly_projections,2026-04-10T02:02:52.896075+00:00
2024,1,19980,Deon Cain,BUF,WR,ARI,0.0,fantasydata.weekly_projections,2026-04-10T02:02:52.896075+00:00
